IDATE,LAT,LON,ELEVATION_m,ACRES,PPT_mm,TMIN_c,TMEAN_c,TMAX_c,TDMEAN_c,VPDMIN_hpa,VPDMAX_hpa,lfmc_mean,lfmc_stdv,Mean_Sea_Level_Pressure,Mean_Station_Pressure,Mean_Wind_Speed,Maximum_Sustained_Wind_Speed,NAMELSAD,population
2012-04-24 00:00:00,41.0539,-123.6847,227,0.1,0,9.4,18.3,27.2,9.8,0.48,22.22,104.465,18.037289,1015,927.1,5.1,13.4,Humboldt County,107562
2012-04-24 00:00:00,41.1022,-123.7042,216,0.2,0,9.6,18.4,27.2,10,0.45,22.66,115.735,21.408346,1015,926.3,5.1,13.5,Humboldt County,107562
2012-04-24 00:00:00,41.79,-123.38,449,0.1,0,8.3,18.9,29.5,7.8,1.25,32.14,104.5925,16.006943,1013.8,907.6,5.6,14.8,Siskiyou County,35575
2012-04-27 00:00:00,33.1269,-116.8033,691,0.1,6.17,8.9,12.8,16.7,10,0.01,5.8,100.7175,26.994062,1016.2,994,7.6,14.2,San Diego County,2371145
2012-04-28 00:00:00,32.6724,-116.0987,700,2.6,0,8.4,17.2,26,9,0.34,20.18,93.96,45.76282,1009.3,999.3,5.4,13,Imperial County,123430
2012-04-28 00:00:00,33.3769,-114.7092,71,0.1,0,14.4,22.8,31.3,10.2,2.3,27.19,274.985,20.278776,1007.9,984.6,5.1,13.4,Imperial County,123430
2012-04-28 00:00:00,33.8833,-116.7289,1190,0.1,0,5.9,14.3,22.6,5,0.72,18.13,146.36,62.658497,1009.4,986.8,5.5,13.5,Riverside County,1569533
2012-04-28 00:00:00,34.2886,-118.1942,844,0.1,0,6.7,14.1,21.5,5.6,0.32,14.25,127.2625,18.52888,1011.7,969.3,5.7,12.6,Los Angeles County,7416397
2012-04-28 00:00:00,37.6775,-118.8778,2282,0.25,0,-3.7,6.8,17.2,-11.1,1.94,17.73,111.695,15.344706,1015,922,5.8,14,Mono County,11223
2012-04-29 00:00:00,40.435,-123.0167,1406,0.01,0,5.5,12.4,19.3,2.5,2.26,14.15,123.515,31.180824,1014.4,996.3,5.6,13.1,Trinity County,11266
2012-04-29 00:00:00,40.4667,-123.0333,1146,2,0,4.1,12.4,20.7,4,0.85,15.25,135.865,16.330395,1014.6,995.7,5.6,13.1,Trinity County,11266
2012-04-29 00:00:00,40.5169,-123.0833,921,0.1,0,3.9,13.1,22.2,4.2,0.36,18.11,117.9625,24.987494,1014.9,995,5.6,13.2,Trinity County,11266
2012-04-30 00:00:00,32.7656,-116.6933,862,0.25,0,8.6,16.6,24.7,7.2,1.13,18.98,132.2225,17.745386,1012.7,996.6,4.5,11.3,San Diego County,2371145
2012-04-30 00:00:00,34.1542,-117.1917,794,8,0,11.2,19.6,27.9,7.8,1.76,26.98,147.305,27.687117,1011.5,975.6,5.6,12.1,San Bernardino County,1440622
2012-04-30 00:00:00,41.0617,-123.6844,227,0.1,0,9.2,16.8,24.5,8.1,0.84,18.38,105.5175,16.959465,1016.5,925.8,5.2,15.1,Humboldt County,107562
2012-05-01 00:00:00,41.0264,-123.6631,227,0.1,0.56,6.1,12.8,19.5,7,1.25,10.74,118.7675,20.403852,1016.8,925.6,8.4,16,Humboldt County,107562
2012-05-01 00:00:00,41.0789,-123.6981,216,0.5,0.54,6.1,12.6,19,7.4,0.91,9.94,112.6975,19.670517,1017,925,8.4,16.1,Humboldt County,107562
2012-05-01 00:00:00,41.0892,-123.6961,216,0.1,0.54,6.1,12.6,19,7.4,0.91,9.94,114,19.207148,1017,924.8,8.5,16.1,Humboldt County,107562
2012-05-02 00:00:00,34.2639,-116.8192,2125,0.01,0,3.7,11.7,19.7,-2.9,2.78,19.19,91.915,31.77656,1008.1,965.7,8.3,14.8,San Bernardino County,1440622
2012-05-02 00:00:00,36.3739,-120.7436,971,0.1,0,7.1,13.9,20.7,-2.7,3.06,19.78,58.06,17.70357,1013,979.3,6.3,12.9,San Benito County,39203
2012-05-02 00:00:00,38.7961,-120.0131,2310,0.1,0,1.1,7.3,13.4,-6.2,2.36,12.68,134.33,18.668451,1009,918.4,7.6,15.8,El Dorado County,139883
2012-05-03 00:00:00,32.72,-116.4758,1046,0.25,0,5.8,11.6,17.5,7,0.04,8.53,103.525,46.008286,1013.2,996.1,6.4,12.2,San Diego County,2371145
